Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
Industrial and Commercial Bank of China,7645.8,6116.64,7110.59,634219.11
Agricultural Bank of China,6974.82,5579.86,6486.58,578561.32
China Construction Bank,6524.05,5219.24,6067.37,541169.95
Bank of China,5484.11,4387.29,5100.22,454906.92
JPMorgan Chase,4424.9,3539.92,4115.16,367045.45
Bank of America,3411.74,2729.39,3172.92,283003.83
BNP Paribas,3279.3,2623.44,3049.75,272017.94
HSBC,3212.35,2569.88,2987.49,266464.43
Crédit Agricole,3148.91,2519.13,2928.49,261202.08
Postal Savings Bank of China,2671.0,2136.8,2484.03,221559.45
Mitsubishi UFJ Financial Group,2666.71,2133.37,2480.04,221203.59
Citigroup,2622.2,2097.76,2438.65,217511.49
Banco Santander,2251.97,1801.58,2094.33,186800.91
Bank of Communications,2222.98,1778.38,2067.37,184396.19
Wells Fargo,2148.63,1718.9,1998.23,178228.86
Barclays,2078.28,1662.62,1932.8,172393.33
SMBC Group,2020.13,1616.1,1878.72,167569.78
Société Générale,1986.83,1589.46,1847.75,164807.55
Mizuho Financial Group,1897.91,1518.33,1765.06,157431.63
China Merchants Bank,1868.71,1494.97,1737.9,155009.49
Groupe BPCE,1813.02,1450.42,1686.11,150390.01
Goldman Sachs,1809.32,1447.46,1682.67,150083.09
Royal Bank of Canada,1726.91,1381.53,1606.03,143247.18
Deutsche Bank,1684.94,1347.95,1566.99,139765.77
UBS,1617.43,1293.94,1504.21,134165.82
Industrial Bank,1586.16,1268.93,1475.13,131571.97
Toronto-Dominion Bank,1547.69,1238.15,1439.35,128380.89
Japan Post Bank,1451.31,1161.05,1349.72,120386.16
China CITIC Bank,1448.45,1158.76,1347.06,120148.93
Crédit Mutuel,1441.94,1153.55,1341.0,119608.92
Shanghai Pudong Development Bank,1441.4,1153.12,1340.5,119564.13
Morgan Stanley,1420.27,1136.22,1320.85,117811.4
Lloyds Banking Group,1270.62,1016.5,1181.68,105397.93
ING Group,1238.0,990.4,1151.34,102692.1
Intesa Sanpaolo,1127.02,901.62,1048.13,93486.31
China Minsheng Bank,1119.83,895.86,1041.44,92889.9
Scotiabank,1088.15,870.52,1011.98,90262.04
Bank of Montreal,1069.57,855.66,994.7,88720.83
China Everbright Bank,1024.44,819.55,952.73,84977.3
UniCredit,1021.77,817.42,950.25,84755.82
Banco Bilbao Vizcaya Argentaria,1005.77,804.62,935.37,83428.62
NatWest Group,961.71,769.37,894.39,79773.84
Commonwealth Bank,955.0,764.0,888.15,79217.25
Standard Chartered,919.96,735.97,855.56,76310.68
State Bank of India,877.07,701.66,815.68,72752.96
Sberbank of Russia,870.03,696.02,809.13,72168.99
ANZ Group,857.93,686.34,797.87,71165.29
La Banque postale,851.81,681.45,792.18,70657.64
Ping An Bank,847.22,677.78,787.91,70276.9
Canadian Imperial Bank of Commerce,834.98,667.98,776.53,69261.59
CaixaBank,779.66,623.73,725.08,64672.8
DZ Bank,776.59,621.27,722.23,64418.14
Nordea,768.29,614.63,714.51,63729.66
Rabobank,750.13,600.1,697.62,62223.28
Westpac,744.33,595.46,692.23,61742.17
National Australia Bank,733.56,586.85,682.21,60848.8
DBS Group,697.77,558.22,648.93,57880.02
Commerzbank,692.84,554.27,644.34,57471.08
U.S. Bancorp,692.35,553.88,643.89,57430.43
Bank of Jiangsu,692.14,553.71,643.69,57413.01
Bank of Beijing,687.19,549.75,639.09,57002.41
Huaxia Bank,677.34,541.87,629.93,56185.35
Capital One,669.01,535.21,622.18,55494.38
PNC Financial Services,600.13,480.1,558.12,49780.78
Danske Bank,590.16,472.13,548.85,48953.77
Itaú Unibanco,562.14,449.71,522.79,46629.51
KB Financial Group,562.76,450.21,523.37,46680.94
Truist Financial Corp,547.54,438.03,509.21,45418.44
Shinhan Financial Group,544.51,435.61,506.39,45167.1
Norinchukin Bank,541.55,433.24,503.64,44921.57
Oversea-Chinese Banking Corporation,525.32,420.26,488.55,43575.29
Sumitomo Mitsui Trust Holdings,522.0,417.6,485.46,43299.9
Bank of Ningbo,519.79,415.83,483.4,43116.58
Erste Group,518.5,414.8,482.21,43009.58
China Guangfa Bank,515.24,412.19,479.17,42739.16
HDFC Bank,514.82,411.86,478.78,42704.32
ABN AMRO,510.65,408.52,474.9,42358.42
Nationwide Building Society,507.39,405.91,471.87,42088.0
China Zheshang Bank,497.7,398.16,462.86,41284.22
Resona Holdings,494.8,395.84,460.16,41043.66
Charles Schwab Corporation,491.0,392.8,456.63,40728.45
Bank of Shanghai,473.06,378.45,439.95,39240.33
BNY Mellon,472.3,377.84,439.24,39177.29
KBC Group,471.89,377.51,438.86,39143.28
Hana Financial Group,467.32,373.86,434.61,38764.19
VTB Bank,466.33,373.06,433.69,38682.07
National Bank of Canada,444.67,355.74,413.54,36885.38
Banco do Brasil,445.1,356.08,413.94,36921.05
United Overseas Bank,444.76,355.81,413.63,36892.84
Bank of Nanjing,432.12,345.7,401.87,35844.35
Banco Bradesco,418.8,335.04,389.48,34739.46
Nonghyup Bank,417.56,334.05,388.33,34636.6
Woori Financial Group,416.56,333.25,387.4,34553.65
Landesbank Baden-Württemberg,407.77,326.22,379.23,33824.52
Raiffeisen Group,407.32,325.86,378.81,33787.19
Caixa Econômica Federal,403.7,322.96,375.44,33486.92
SEB Group,398.24,318.59,370.36,33034.01
Nomura Holdings,395.02,316.02,367.37,32766.91
First Abu Dhabi Bank,382.19,305.75,355.44,31702.66
Qatar National Bank,381.61,305.29,354.9,31654.55
